1 2.0 -2.0 0.0
2 2.0 2.0 0.0
3 1.0 2.0 0.0
4 1.0 -2.0 0.0
5 2.0 -2.0 1.0
6 2.0 2.0 1.0
7 1.0 2.0 1.0
8 1.0 -2.0 1.0
9 1.0 -2.0 0.0
10 1.0 2.0 0.0
11 0.0 2.0 0.0
12 0.0 -2.0 0.0
13 1.0 -2.0 2.0
14 1.0 2.0 2.0
15 0.0 2.0 2.0
16 0.0 -2.0 2.0
17 0.0 -2.0 0.0
18 0.0 2.0 0.0
19 -1.0 2.0 0.0
20 -1.0 -2.0 0.0
21 0.0 -2.0 3.0
22 0.0 2.0 3.0
23 -1.0 2.0 3.0
24 -1.0 -2.0 3.0
25 -1.0 -2.0 0.0
26 -1.0 2.0 0.0
27 -2.0 2.0 0.0
28 -2.0 -2.0 0.0
29 -1.0 -2.0 4.0
30 -1.0 2.0 4.0
31 -2.0 2.0 4.0
32 -2.0 -2.0 4.0
33 -2.0 -2.0 0.0
34 -2.0 2.0 0.0
35 -3.0 2.0 0.0
36 -3.0 -2.0 0.0
37 -2.0 -2.0 5.0
38 -2.0 2.0 5.0
39 -3.0 2.0 5.0
40 -3.0 -2.0 5.0
Faces:
1 2 6 5.
4 8 7 3.
5 6 7 8.
1 4 3 2.
2 3 7 6.
1 5 8 4.
9 10 14 13.
12 16 15 11.
13 14 15 16.
9 12 11 10.
10 11 15 14.
9 13 16 12.
17 18 22 21.
20 24 23 19.
21 22 23 24.
17 20 19 18.
18 19 23 22.
17 21 24 20.
25 26 30 29.
28 32 31 27.
29 30 31 32.
25 28 27 26.
26 27 31 30.
25 29 32 28.
33 34 38 37.
36 40 39 35.
37 38 39 40.
33 36 35 34.
34 35 39 38.
33 37 40 36.
